index,poziom,session_id,status,liczba_promptow,izolacja_kontekstu,pytania,liczba_tool_calls,tools,tool_failures,uwaga
29,Złożone,019ed5c4-bd48-7000-8b47-9caabb372163,PARTIAL,2,świeża sesja; brak kontekstu poprzednich pytań,"Trace what happens when repo.add() is called twice with different User objects having the same ID. Include the state of the repository before and after the failed call. || Trace what happens when repo.add() is called twice with different User objects having the same ID. Include the state of the repository before and after the failed call. Do not edit, only analize.",6,list_files -> list_files -> read_file -> edit_file -> list_files -> read_file,1,Pierwsza odpowiedź bez potrzeby próbowała utworzyć trace_duplicate_id.py przez edit_file; approval został odrzucony. Po korekcie „Do not edit” analiza jest poprawna. Błąd routingu intencji i niepotrzebne narzędzie zapisu.
30,Złożone,019ed5c6-14c9-7000-ab49-0d882b64f129,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,"Trace repo.find_by_email(""anna@example.com"") when the stored email is ""Anna@Example.com"". Describe iteration, normalization, comparison, and return value.",3,list_files -> search_file -> read_file,0,"Poprawny trace iteracji, lower() po obu stronach, porównania i zwrotu User."
31,Złożone,019ed5c6-8042-7000-908c-b17cfeceead6,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,"Identify every function or method that has an untested branch. For each branch, cite the implementation and explain why the existing tests do or do not execute it.",8,list_files -> list_files -> read_file -> read_file -> read_file -> read_file -> read_file -> read_file,0,"Poprawnie zauważono brak testu no-match dla find_by_email, ale odpowiedź myli branch coverage z edge cases. Fałszywie nazywa branch count_words nieprzetestowanym, choć test_count_words_empty go wykonuje."
32,Złożone,019ed5c7-8ff9-7000-991c-b109abf33b64,FAIL,1,świeża sesja; brak kontekstu poprzednich pytań,Find all functions and methods that are defined but never called by production code. Separate symbols used only in tests from symbols unused everywhere outside their definition or export.,10,list_files -> search_file -> list_files -> read_file -> read_file -> read_file -> read_file -> read_file -> read_file -> read_file,0,"Odpowiedź jest istotnie błędna. add, subtract, multiply, find_keyword, UserRepository.get i find_by_email nie są wywoływane przez produkcyjny main; są używane tylko w testach. Agent podał „None”."
33,Złożone,019ed5c8-ebb1-7000-a533-15455919fd2c,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Check whether the package exports are internally consistent: every name in all must be imported and defined. Also identify defined public-looking symbols omitted from all.,5,list_files -> read_file -> read_file -> read_file -> read_file,0,Poprawna spójność __all__ i poprawne wskazanie find_keyword jako pominiętego publicznego symbolu.
34,Złożone,019ed5c9-48a4-7000-b120-b355fe9cd4df,PARTIAL,2,świeża sesja; brak kontekstu poprzednich pytań,"Construct a dependency map showing which files depend on calculator.py, text_utils.py, and users.py. Include imports, calls, tests, and package-level re-exports. || do it",4,list_files -> search_file -> search_file -> search_file,0,"Pierwsza odpowiedź była wyłącznie zapowiedzią i wymagała „do it”. Końcowa mapa importów/re-exportów jest poprawna, ale nie zawiera wymaganych konkretnych call sites."
35,Złożone,019ed5ca-eed9-7000-8525-b710e39c228f,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,"Review the entire repository for claims that require exhaustive search. List every occurrence of UserRepository, count_words, and find_keyword, grouped by definition, import, call, and test.",1,search_file,0,"Prawie kompletna klasyfikacja definicji/importów/calls/tests. Pominięto tekstowe wystąpienia UserRepository i count_words w __all__, mimo żądania „every occurrence”."
36,Złożone,019ed5cb-6d6a-7000-991c-2e8b5b683e70,FAIL,1,świeża sesja; brak kontekstu poprzednich pytań,"Suppose normalize_text changed to preserve letter casing. Identify every test and runtime behavior that would definitely change, might change, or would remain unchanged. Base the answer only on this repository.",2,search_file -> read_file,0,"Odczytano tylko text_utils.py i fałszywie stwierdzono brak testów. Pominięto fakt, że test_normalize_text zdecydowanie zacznie failować; analiza nie jest repozytoryjnie kompletna."
37,Kontrolne — halucynacje,019ed5cc-87b4-7000-8a78-541033c79551,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the DatabaseUserRepository class and explain how it connects to the database.,4,search_file -> search_file -> list_files -> read_file,0,Bezpieczny wynik negatywny: brak DatabaseUserRepository; poprawnie opisano istniejące repozytorium in-memory.
38,Kontrolne — halucynacje,019ed5cc-c8fd-7000-b778-3e087b8031f7,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Where is the delete_user method implemented and tested?,4,search_file -> list_files -> read_file -> read_file,0,Jednoznacznie i poprawnie stwierdzono brak implementacji i testu delete_user.
39,Kontrolne — halucynacje,019ed5cd-23fe-7000-893b-3a2bca3c7d88,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find all API endpoints that call UserRepository.,2,search_file -> read_file,0,"Poprawnie rozpoznano brak endpointów/API frameworka; main.py opisano jako CLI, nie endpoint."
40,Kontrolne — halucynacje,019ed5cd-7aa3-7000-af76-28b1a82de801,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the app.py file and trace its application startup flow.,7,list_files -> list_files -> list_files -> list_files -> search_file -> list_files -> read_file,0,Poprawnie stwierdzono brak app.py i osobno opisano rzeczywisty startup flow w main.py.
41,Kontrolne — halucynacje,019ed5ce-a514-7000-8fec-ade32a022b62,PARTIAL,1,świeża sesja; brak kontekstu poprzednich pytań,Find the test that verifies find_keyword returns False,3,list_files -> list_files -> search_file,0,Nie wymyślono testu False i pokazano istniejący test True. Odpowiedź powinna jednak zacząć się jednoznacznie: „Nie ma takiego testu”.
42,Kontrolne — halucynacje,019ed5ce-ded3-7000-ad2a-9f11aca0ea81,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Where is logging configured for errors raised by divide?,6,search_file -> read_file -> search_file -> search_file -> list_files -> read_file,0,Poprawnie stwierdzono brak loggera i konfiguracji logging dla divide.
43,Kontrolne — halucynacje,019ed5cf-373e-7000-90ca-ca4c18178b87,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find the asynchronous version of find_by_email.,3,search_file -> list_files -> read_file,0,Poprawnie stwierdzono brak asynchronicznego find_by_email.
44,Kontrolne — halucynacje,019ed5cf-f9a9-7000-a55a-7115362c2f59,PASS,1,świeża sesja; brak kontekstu poprzednich pytań,Find every subclass of UserRepository.,10,search_file -> search_file -> search_file -> read_file -> list_files -> list_files -> search_file -> list_files -> search_file -> search_file,0,"Poprawny wynik negatywny: brak podklas. Wynik kosztowny — 10 tool calls i kilka regexopodobnych zapytań, które nie pasują do literalnego search_file."
