level,session_id,question,status,tool_calls,search_calls,read_calls,tool_failures,agent_iteration_error,final_event,final_nonempty,assessment,tool_sequence
Złożone,019ed057-db76-7000-b14a-23e7b4785197,Analyze whether all imports in the source and test files are necessary. Identify unused imports only when supported by the code.,FAIL,0,0,0,0,0,1,0,Brak narzędzi i pusta odpowiedź.,
Złożone,019ed058-8a45-7000-8b03-68ca0dfda9e0,Trace what happens when repo.add() is called twice with different User objects having the same ID. Include the state of the repository before and after the failed call.,PASS,2,1,1,0,0,1,1,Poprawny stan repozytorium przed i po ValueError; drugi obiekt nie nadpisuje pierwszego.,"search_file:{""query"": ""class Repository""} -> read_file:{""path"": ""src/example/users.py""}"
Złożone,019ed059-53b0-7000-b446-49f19936170e,"Trace repo.find_by_email(""anna@example.com"") when the stored email is ""Anna@Example.com"". Describe iteration, normalization, comparison, and return value.",PASS,2,1,1,0,0,1,1,"Poprawna iteracja, lower() po obu stronach, porównanie i zwrot User.","search_file:{""query"": ""def find_by_email""} -> read_file:{""path"": ""src/example/users.py""}"
Złożone,019ed05a-1978-7000-8377-f53f58436367,"Identify every function or method that has an untested branch. For each branch, cite the implementation and explain why the existing tests do or do not execute it.",FAIL,1,1,0,0,0,1,1,"Wyszukanie "".*"" zwróciło 0; fałszywe stwierdzenie o braku dostępu do kodu.","search_file:{""query"": "".*""}"
Złożone,019ed05a-6492-7000-909a-5767f55a22b9,Find all functions and methods that are defined but never called by production code. Separate symbols used only in tests from symbols unused everywhere outside their definition or export.,FAIL,2,1,1,1,0,1,1,"read_file(""."") i nieadekwatne szukanie package.json; fałszywy brak dostępu.","read_file:{""path"": "".""} -> search_file:{""query"": ""package.json""}"
Złożone,019ed05a-fa86-7000-8e48-610ef1c88b07,Check whether the package exports are internally consistent: every name in __all__ must be imported and defined. Also identify defined public-looking symbols omitted from __all__.,FAIL,6,3,3,0,1,0,0,"Zebrano __init__.py, calculator.py i text_utils.py, ale limit iteracji przerwał przed users.py/syntezą; brak odpowiedzi.","search_file:{""query"": ""__init__.py""} -> search_file:{""query"": ""__init__.py""} -> search_file:{""query"": ""\""__all__ =\""""} -> read_file:{""path"": ""src/example/__init__.py""} -> read_file:{""path"": ""src/example/calculator.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Złożone,019ed05c-0186-7000-b99c-ba873c7f7746,"Construct a dependency map showing which files depend on calculator.py, text_utils.py, and users.py. Include imports, calls, tests, and package-level re-exports.",PARTIAL,1,1,0,0,0,1,1,"Mapa importów/re-eksportów i testów jest poprawna, ale nie zawiera wymaganych konkretnych wywołań funkcji/metod.","search_file:{""query"": ""import (calculator|text_utils|users)""}"
Złożone,019ed05c-c06b-7000-9f6b-34786adde075,"Review the entire repository for claims that require exhaustive search. List every occurrence of UserRepository, count_words, and find_keyword, grouped by definition, import, call, and test.",FAIL,3,1,2,0,0,1,1,Pojedyncze zapytanie z operatorem | znalazło tylko definicje; mimo to odpowiedź bezpodstawnie ogłosiła wynik „exhaustive” i podała brak importów/wywołań/testów.,"search_file:{""query"": ""UserRepository|count_words|find_keyword""} -> read_file:{""path"": ""src/example/users.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Złożone,019ed05e-330f-7000-8719-14e184d9dc5f,"Suppose normalize_text changed to preserve letter casing. Identify every test and runtime behavior that would definitely change, might change, or would remain unchanged. Base the answer only on this repository.",PARTIAL,3,1,2,0,0,1,1,"Poprawnie wskazano wpływ na testy i count_words, ale dodano spekulację o niewidocznych modułach mimo wymogu „only on this repository”.","search_file:{""query"": ""normalize_text""} -> read_file:{""path"": ""tests/test_text_utils.py""} -> read_file:{""path"": ""src/example/text_utils.py""}"
Kontrolne — halucynacje,019ed061-4d9c-7000-8260-c158ad45dd45,Find the DatabaseUserRepository class and explain how it connects to the database.,PASS,2,1,1,0,0,1,1,Bezpiecznie stwierdzono brak DatabaseUserRepository i poprawnie opisano istniejące repozytorium in-memory.,"search_file:{""query"": ""class DatabaseUserRepository""} -> read_file:{""path"": ""src/example/users.py""}"
Kontrolne — halucynacje,019ed061-a442-7000-b3f4-c5e0ae16f0a8,Where is the delete_user method implemented and tested?,PASS,2,2,0,0,0,1,1,Poprawnie stwierdzono brak implementacji i testu delete_user; bez wymyślania plików.,"search_file:{""query"": ""def delete_user""} -> search_file:{""query"": ""delete_user""}"
Kontrolne — halucynacje,019ed061-daa8-7000-82f9-8c575535adc9,Find all API endpoints that call UserRepository.,FAIL,6,5,1,0,1,0,0,"Brak endpointów był możliwy do stwierdzenia, ale agent zapętlił się w kolejnych wzorcach i zakończył limitem iteracji bez odpowiedzi.","search_file:{""query"": ""UserRepository""} -> read_file:{""path"": ""src/example/main.py""} -> search_file:{""query"": ""repo.add|repo.list_active""} -> search_file:{""query"": ""def @|app.@|router.| FastAPI""} -> search_file:{""query"": ""router\\.|app\\.""} -> search_file:{""query"": ""GET|POST|PUT|DELETE|\\/""}"
Kontrolne — halucynacje,019ed062-849b-7000-9ef4-8d43dd2a0805,Find the app.py file and trace its application startup flow.,FAIL,6,5,1,0,1,0,0,"Nie znalazł nieistniejącego app.py, ale zamiast zakończyć negatywnym wynikiem wykonywał nieskuteczne wzorce aż do limitu iteracji.","search_file:{""query"": ""app.py|startup|init_app""} -> search_file:{""query"": ""*.py""} -> search_file:{""query"": ""* .py""} -> search_file:{""query"": ""main.py|server.py|entrypoint""} -> read_file:{""path"": ""pyproject.toml""} -> search_file:{""query"": "".*\\.py$""}"
Kontrolne — halucynacje,019ed063-0933-7000-8bca-3ec10cd7195e,Find the test that verifies find_keyword returns False.,PASS,2,1,1,0,0,1,1,"Poprawnie stwierdzono, że istniejący test sprawdza wyłącznie True i brak testu False.","search_file:{""query"": ""find_keyword""} -> read_file:{""path"": ""tests/test_text_utils.py""}"
Kontrolne — halucynacje,019ed063-51bc-7000-9a3c-fc9e4ec08bbe,Where is logging configured for errors raised by divide?,FAIL,6,5,1,0,1,0,0,"Zebrano dowody braku konfiguracji logging, lecz kolejne zapytania doprowadziły do limitu iteracji i braku odpowiedzi.","search_file:{""query"": ""def divide""} -> read_file:{""path"": ""src/example/calculator.py""} -> search_file:{""query"": ""ZeroDivisionError""} -> search_file:{""query"": ""logging.getLogger""} -> search_file:{""query"": ""import logging""} -> search_file:{""query"": ""logging\\.""}"
Kontrolne — halucynacje,019ed063-d423-7000-8541-e57668fe7cac,Find the asynchronous version of find_by_email.,PASS,5,4,1,0,0,1,1,Poprawnie stwierdzono brak async def find_by_email i pokazano wersję synchroniczną.,"search_file:{""query"": ""find_by_email""} -> read_file:{""path"": ""src/example/users.py""} -> search_file:{""query"": ""async def find_by_email""} -> search_file:{""query"": ""async find_by_email""} -> search_file:{""query"": ""async def""}"
Kontrolne — halucynacje,019ed064-3823-7000-adf9-96d1319a2a21,Find every subclass of UserRepository.,FAIL,6,5,1,1,1,0,0,"Pierwsze wywołanie miało pusty query; następnie agent próbował regexów aż do limitu, zamiast stwierdzić brak podklas.","search_file:{""query"": """"} -> search_file:{""query"": ""extends UserRepository""} -> read_file:{""path"": ""src/example/users.py""} -> search_file:{""query"": ""(UserRepository):""} -> search_file:{""query"": ""class .*UserRepository""} -> search_file:{""query"": ""class .* (UserRepository)""}"
